0. [[-0.278697,-0.314978,-0.907258,110.22,-0.176454,0.945399,-0.274015,27.9032,0.94403,0.0837221,-0.319059,-1553.1,0,0,0,1], [0.83744,-0.19084,0.512127,124.875,-0.029217,0.920081,0.390637,72.8332,-0.545747,-0.342098,0.764937,-1356.42,0,0,0,1]]
1. [[-0.247347,-0.288973,-0.924832,119.638,-0.382609,0.906052,-0.180775,-18.444,0.890185,0.309135,-0.334673,-1535.74,0,0,0,1], [0.835631,-0.194018,0.513885,124.875,-0.0291188,0.91858,0.394161,73.0422,-0.548519,-0.344337,0.761944,-1356.44,0,0,0,1]]
2. [[-0.229024,-0.281742,-0.931756,127.341,-0.158351,0.955231,-0.249918,27.3745,0.960454,0.0903077,-0.263385,-1564.13,0,0,0,1], [0.841938,-0.185629,0.506638,123.624,-0.0332041,0.919355,0.392025,73.5194,-0.538552,-0.346883,0.767876,-1357.01,0,0,0,1]]
3. [[-0.391516,-0.226384,-0.891889,140.793,-0.249402,0.95909,-0.13396,-19.1982,0.885728,0.169992,-0.431959,-1549.07,0,0,0,1], [0.836893,-0.193233,0.512125,124.71,-0.0286524,0.918867,0.393526,72.8967,-0.546617,-0.344012,0.763456,-1356.44,0,0,0,1]]
4. [[0.213357,0.0674703,-0.974642,171.167,-0.412511,0.910545,-0.0272689,23.9776,0.885615,0.407868,0.222103,-1448.63,0,0,0,1], [0.836848,-0.193432,0.512123,124.954,-0.0278358,0.919249,0.392691,72.732,-0.546728,-0.342878,0.763887,-1356.41,0,0,0,1]]
5. [[0.274456,0.071943,-0.958905,148.332,-0.166469,0.985696,0.0263067,6.54653,0.947081,0.152407,0.282506,-1483.33,0,0,0,1], [0.836339,-0.193861,0.512791,124.911,-0.0277557,0.919214,0.392778,72.7013,-0.547509,-0.342728,0.763395,-1356.42,0,0,0,1]]
6. [[0.36522,0.115198,-0.923766,125.43,-0.123926,0.989498,0.0744,-11.0689,0.922636,0.0873063,0.37566,-1518.15,0,0,0,1], [0.838552,-0.191664,0.509995,124.489,-0.0287668,0.919196,0.392748,72.8459,-0.544061,-0.34401,0.76528,-1356.79,0,0,0,1]]
7. [[0.363133,0.0819157,-0.92813,117.576,-0.0918765,0.994421,0.0518197,-0.870979,0.927197,0.0664558,0.368633,-1531.29,0,0,0,1], [0.842123,-0.186419,0.506041,123.602,-0.0322719,0.919252,0.392345,73.3092,-0.538319,-0.346733,0.768107,-1357.09,0,0,0,1]]
8. [[0.338837,-0.0500891,-0.939511,116.097,-0.0146691,0.998179,-0.0585074,35.2669,0.940731,0.0336062,0.337485,-1535.24,0,0,0,1], [0.842388,-0.185852,0.505808,123.583,-0.0328124,0.919211,0.392397,73.3956,-0.537872,-0.347147,0.768234,-1357.09,0,0,0,1]]
9. [[0.299339,-0.048265,-0.952925,148.786,-0.109497,0.990384,-0.0845582,60.2269,0.947843,0.129654,0.291176,-1484.49,0,0,0,1], [0.837072,-0.192349,0.512165,124.915,-0.0284316,0.919597,0.391833,72.7518,-0.546354,-0.342554,0.7643,-1356.48,0,0,0,1]]
10. [[0.266781,-0.0823324,-0.960234,161.538,-0.116027,0.986354,-0.116808,69.9853,0.956747,0.142576,0.253588,-1465,0,0,0,1], [0.837235,-0.192253,0.511933,124.939,-0.0281926,0.919742,0.39151,72.7881,-0.546115,-0.342219,0.76462,-1356.44,0,0,0,1]]
